<start> geh . <end>	<start> go . <end>
<start> das glaube ich nicht . <end>	<start> i do not believe this . <end>
<start> ich interessiere mich nicht fur ihn . <end>	<start> i do not care for him . <end>
<start> ich mag ihn nicht . <end>	<start> i do not care for him . <end>
<start> das habe ich nicht verdient . <end>	<start> i do not deserve this . <end>
<start> ich diskriminiere nicht . <end>	<start> i do not discriminate . <end>
<start> ich mache das nicht gut . <end>	<start> i do not do that well . <end>
<start> ich trinke keinen cognac . <end>	<start> i do not drink cognac . <end>
<start> ich fuhle mich nicht ubers ohr gehauen . <end>	<start> i do not feel cheated . <end>
<start> ich komme mir nicht angeschwindelt vor . <end>	<start> i do not feel cheated . <end>
<start> ich fuhle mich nicht danach . <end>	<start> i do not feel like it . <end>
<start> mir ist nicht danach . <end>	<start> i do not feel like it . <end>
<start> ich habe keine lust dazu . <end>	<start> i do not feel like it . <end>
<start> ich fuhle mich nicht so gut . <end>	<start> i do not feel so good . <end>
<start> ich komme nicht viel raus . <end>	<start> i do not get out much . <end>
<start> ich habe den witz nicht verstanden . <end>	<start> i do not get the joke . <end>
<start> ich gehe nicht in die schule . <end>	<start> i do not go to school . <end>
<start> ich habe kein fieber . <end>	<start> i do not have a fever . <end>
<start> ich habe kein pferd . <end>	<start> i do not have a horse . <end>
<start> ich habe kein telefon . <end>	<start> i do not have a phone . <end>
<start> ich habe kein radio . <end>	<start> i do not have a radio . <end>
<start> ich habe kein schwert . <end>	<start> i do not have a sword . <end>
<start> ich habe nicht den ganzen tag zeit . <end>	<start> i do not have all day . <end>
<start> ich habe keine feinde . <end>	<start> i do not have enemies . <end>
<start> ich bin nicht nachtragend . <end>	<start> i do not hold grudges . <end>
<start> ich kann kein englisch . <end>	<start> i do not know english . <end>
<start> ich bin mir nicht sicher . <end>	<start> i do not know exactly . <end>
<start> ich weiay es nicht genau . <end>	<start> i do not know exactly . <end>
<start> ich kenne den weg nicht . <end>	<start> i do not know the way . <end>
<start> ich mag englisch nicht . <end>	<start> i do not like english . <end>
<start> ich streite nicht gern . <end>	<start> i do not like arguing . <end>
<start> ich mag kekse nicht . <end>	<start> i do not like cookies . <end>
<start> ich koche nicht gerne . <end>	<start> i do not like cooking . <end>
<start> ich koche nicht gern . <end>	<start> i do not like cooking . <end>
<start> ich mag keine arzte . <end>	<start> i do not like doctors . <end>
<start> arzte sind mir nicht geheuer . <end>	<start> i do not like doctors . <end>
<start> ich mag ihren hut nicht . <end>	<start> i do not like her hat . <end>
<start> ich bugele nicht gern . <end>	<start> i do not like ironing . <end>
<start> ich mag es hier nicht . <end>	<start> i do not like it here . <end>
<start> ich laufe nicht gern . <end>	<start> i do not like running . <end>
<start> ich mag keine wissenschaft . <end>	<start> i do not like science . <end>
<start> stille behagt mir nicht . <end>	<start> i do not like silence . <end>
<start> ich mag keine spinnen . <end>	<start> i do not like spiders . <end>
<start> diese cd gefallt mir nicht . <end>	<start> i do not like this cd . <end>
<start> ich koche nicht gerne . <end>	<start> i do not like to cook . <end>
<start> ich koche nicht gern . <end>	<start> i do not like to cook . <end>
<start> ich scheitere nicht gern . <end>	<start> i do not like to fail . <end>
<start> ich verliere nicht gern . <end>	<start> i do not like to lose . <end>
<start> ich singe nicht gern . <end>	<start> i do not like to sing . <end>
<start> ich laufe nicht gerne . <end>	<start> i do not like to walk . <end>
<start> ich arbeite nicht gerne . <end>	<start> i do not like to work . <end>
<start> ich warte nicht gerne . <end>	<start> i do not like waiting . <end>
<start> ich schreibe nicht gern . <end>	<start> i do not like writing . <end>
<start> es stort mich nicht zu warten . <end>	<start> i do not mind waiting . <end>
<start> ich brauche keine pause . <end>	<start> i do not need a break . <end>
<start> ich brauche niemanden . <end>	<start> i do not need anybody . <end>
<start> ich brauche keine brille . <end>	<start> i do not need glasses . <end>
<start> ich muss nicht arbeiten . <end>	<start> i do not need to work . <end>
<start> ich brauche nicht zu arbeiten . <end>	<start> i do not need to work . <end>
<start> ich luge normalerweise nicht . <end>	<start> i do not normally lie . <end>
<start> ich erkenne es nicht . <end>	<start> i do not recognize it . <end>
<start> ich erkenne ihn nicht . <end>	<start> i do not recognize it . <end>
<start> ich erkenne sie nicht . <end>	<start> i do not recognize it . <end>
<start> ich erinnere mich nicht an dich . <end>	<start> i do not remember you . <end>
<start> ich sehe nichts . <end>	<start> i do not see anything . <end>
<start> ich spreche kein franzosisch . <end>	<start> i do not speak french . <end>
<start> ich spreche nicht deutsch . <end>	<start> i do not speak german . <end>
<start> ich rede nicht mit tom . <end>	<start> i do not speak to tom . <end>
<start> ich studiere kein franzosisch . <end>	<start> i do not study french . <end>
<start> ich vertraue niemandem . <end>	<start> i do not trust anyone . <end>
<start> ich benutze kein facebook . <end>	<start> i do not use facebook . <end>
<start> ich will keinen drink . <end>	<start> i do not want a drink . <end>
<start> ich will kein pferd . <end>	<start> i do not want a horse . <end>
<start> ich will keine wohltatigkeit . <end>	<start> i do not want charity . <end>
<start> ich will keine almosen . <end>	<start> i do not want charity . <end>
<start> ich will nicht kochen . <end>	<start> i do not want to cook . <end>
<start> ich will es gar nicht wissen . <end>	<start> i do not want to know . <end>
<start> ich will es nicht wissen . <end>	<start> i do not want to know . <end>
<start> ich mochte nicht schauen . <end>	<start> i do not want to look . <end>
<start> ich will nicht hinsehen . <end>	<start> i do not want to look . <end>
<start> ich will nicht spielen . <end>	<start> i do not want to play . <end>
<start> ich will mich nicht ausruhen . <end>	<start> i do not want to rest . <end>
<start> ich will nicht bleiben . <end>	<start> i do not want to stay . <end>
<start> ich will nicht aufhoren . <end>	<start> i do not want to stop . <end>
<start> ich will nicht anhalten . <end>	<start> i do not want to stop . <end>
<start> ich will nicht reden . <end>	<start> i do not want to talk . <end>
<start> ich will nicht warten . <end>	<start> i do not want to wait . <end>
<start> ich will nicht arbeiten . <end>	<start> i do not want to work . <end>
<start> ich will keinen arger . <end>	<start> i do not want trouble . <end>
<start> ich trage keine uhr . <end>	<start> i do not wear a watch . <end>
<start> ich arbeite nicht fur sie . <end>	<start> i do not work for you . <end>
<start> ich schreibe keine poesie . <end>	<start> i do not write poetry . <end>
<start> ich spende jeden monat . <end>	<start> i donate every month . <end>
<start> ich haben meinen ohrring fallen lassen . <end>	<start> i dropped my earring . <end>
<start> ich verdiene mehr als tom . <end>	<start> i earn more than tom . <end>
<start> ich esse jeden tag fleisch . <end>	<start> i eat meat every day . <end>
<start> ich esse jeden tag reis . <end>	<start> i eat rice every day . <end>
<start> hier zu arbeiten macht mir freude . <end>	<start> i enjoy working here . <end>
<start> ich habe freude an der arbeit hier . <end>	<start> i enjoy working here . <end>
<start> ich arbeite gerne hier . <end>	<start> i enjoy working here . <end>
<start> es ist schon , mit dir zusammen zu sein . <end>	<start> i enjoy your company . <end>
<start> ich erwarte , dass er kommt . <end>	<start> i expect him to come . <end>
<start> ich rechne damit , dass er kommt . <end>	<start> i expect him to come . <end>
<start> ich erwarte viel von ihm . <end>	<start> i expect much of him . <end>
<start> ich erwarte von dir , dass du hilfst . <end>	<start> i expect you to help . <end>
<start> ich faxte tom eine karte . <end>	<start> i faxed a map to tom . <end>
<start> ich komme mir wie ein idiot vor . <end>	<start> i feel like an idiot . <end>
<start> ich komme mir wie ein trottel vor . <end>	<start> i feel like an idiot . <end>
<start> mir ist zum feiern zumute . <end>	<start> i feel like partying . <end>
<start> mir ist schlecht . <end>	<start> i feel like vomiting . <end>
<start> mir ist ubel . <end>	<start> i feel like vomiting . <end>
<start> ich komme mir wirklich dumm vor . <end>	<start> i feel really stupid . <end>
<start> manchmal bin ich traurig . <end>	<start> i feel sad sometimes . <end>
<start> es tut mir leid fur sie . <end>	<start> i feel sorry for her . <end>
<start> sie tut mir leid . <end>	<start> i feel sorry for her . <end>
<start> er tut mir leid . <end>	<start> i feel sorry for him . <end>
<start> ich fuhle mich sehr betrogen . <end>	<start> i feel very betrayed . <end>
<start> ich fuhle mich sehr fiebrig . <end>	<start> i feel very feverish . <end>
<start> ich kam mir wie ein idiot vor . <end>	<start> i felt like an idiot . <end>
<start> ich kam mir wie ein trottel vor . <end>	<start> i felt like an idiot . <end>
<start> ich hatte groaye angst . <end>	<start> i felt really scared . <end>
<start> tom tat mir leid . <end>	<start> i felt sorry for tom . <end>
<start> ich fuhlte mich sehr einsam . <end>	<start> i felt very isolated . <end>
<start> ich verstehe es endlich . <end>	<start> i finally understand . <end>
<start> ich habe vergessen , wer es gesagt hat . <end>	<start> i forget who said it . <end>
<start> ich habe seine anschrift vergessen . <end>	<start> i forgot his address . <end>
<start> ich habe seine adresse vergessen . <end>	<start> i forgot his address . <end>
<start> ich habe mein passwort vergessen . <end>	<start> i forgot my password . <end>
<start> ich habe vergessen , dich anzurufen . <end>	<start> i forgot to call you . <end>
<start> ich habe eine wohnung gefunden . <end>	<start> i found an apartment . <end>
<start> ich habe das buch fur ihn gesucht . <end>	<start> i found him the book . <end>
<start> ich fand es in einer hohle . <end>	<start> i found it in a cave . <end>
<start> ich habe das gebaude gefunden . <end>	<start> i found the building . <end>
<start> ich unterstutze das voll und ganz . <end>	<start> i fully support that . <end>
<start> ich gab tom eine decke . <end>	<start> i gave tom a blanket . <end>
<start> ich lieay tom keine wahl . <end>	<start> i gave tom no choice . <end>
<start> ich gab tom etwas wein . <end>	<start> i gave tom some wine . <end>
<start> ich gab tom jenes buch . <end>	<start> i gave tom that book . <end>
<start> ich langweile mich im unterricht . <end>	<start> i get bored in class . <end>
<start> ich steige auch dort aus . <end>	<start> i get off there , too . <end>
<start> ich bin bisweilen gehemmt . <end>	<start> i get self conscious . <end>
<start> ich gehe jeden tag dorthin . <end>	<start> i go there every day . <end>
<start> ich gehe um halb elf schlafen . <end>	<start> i go to bed at . . <end>
<start> ich habe eine zwei in physik bekommen . <end>	<start> i got a b in physics . <end>
<start> ich habe in franzosisch eine eins bekommen . <end>	<start> i got an a in french . <end>
<start> ich stieg wieder in mein auto . <end>	<start> i got back in my car . <end>
<start> ich begann , mich zu langweilen , und ging . <end>	<start> i got bored and left . <end>
<start> ich haba s umsonst bekommen . <end>	<start> i got it for nothing . <end>
<start> ich habe sehr viel hilfe bekommen . <end>	<start> i got plenty of help . <end>
<start> ich bin letzte woche krank geworden . <end>	<start> i got sick last week . <end>
<start> ich bin vor einer stunde aufgestanden . <end>	<start> i got up an hour ago . <end>
<start> ich bin heute fruh aufgestanden . <end>	<start> i got up early today . <end>
<start> ich schatze , das ist ein ja . <end>	<start> i guess that is a yes . <end>
<start> ich vermute , dass ihr recht habt . <end>	<start> i guess you are right . <end>
<start> ich vermute , dass sie recht haben . <end>	<start> i guess you are right . <end>
<start> ich vermute , dass du recht hast . <end>	<start> i guess you are right . <end>
<start> ich hatte einen schonen urlaub . <end>	<start> i had a good holiday . <end>
<start> ich hatte einen herzinfarkt . <end>	<start> i had a heart attack . <end>
<start> ich habe einen herzanfall gehabt . <end>	<start> i had a heart attack . <end>
<start> ich hatte einen herzanfall . <end>	<start> i had a heart attack . <end>
<start> ich hatte leichtes fieber . <end>	<start> i had a little fever . <end>
<start> mir ist da ein kleines missgeschick passiert . <end>	<start> i had a small mishap . <end>
<start> man hat mir einen zahn gezogen . <end>	<start> i had a tooth pulled . <end>
<start> ich hatte eine inspiration . <end>	<start> i had an inspiration . <end>
<start> ich hatte eine eingebung . <end>	<start> i had an inspiration . <end>
<start> ich sollte sie besser fragen . <end>	<start> i had better ask her . <end>
<start> das hat mir spaay gemacht . <end>	<start> i had fun doing that . <end>
<start> ich hatte spaay dabei . <end>	<start> i had fun doing this . <end>
<start> ich aay mit tom zu mittag . <end>	<start> i had lunch with tom . <end>
<start> ich habe mit tom zu mittag gegessen . <end>	<start> i had lunch with tom . <end>
<start> ich habe meine armbanduhr reparieren lassen . <end>	<start> i had my watch fixed . <end>
<start> ich habe nichts zu sagen . <end>	<start> i had nothing to say . <end>
<start> ich musste in bewegung bleiben . <end>	<start> i had to keep moving . <end>
<start> ich musste fruher gehen . <end>	<start> i had to leave early . <end>
<start> ich musste in bar bezahlen . <end>	<start> i had to pay in cash . <end>
<start> ich musste mit tom reden . <end>	<start> i had to talk to tom . <end>
<start> ich hasse toms eltern . <end>	<start> i hate tom s parents . <end>
<start> ich hasse solche polizisten wie ihn . <end>	<start> i hate cops like him . <end>
<start> ich hasse eifersuchtige frauen . <end>	<start> i hate jealous women . <end>
<start> ich hasse lange abschiede . <end>	<start> i hate long goodbyes . <end>
<start> ich hasse erdnussbutter . <end>	<start> i hate peanut butter . <end>
<start> ich hasse stummfilme . <end>	<start> i hate silent movies . <end>
<start> anfangs hasste ich dich . <end>	<start> i hated you at first . <end>
<start> ich habe einen schlimmen sonnenbrand . <end>	<start> i have a bad sunburn . <end>
<start> ich habe ein strandhaus . <end>	<start> i have a beach house . <end>
<start> ich habe eine bessere idee . <end>	<start> i have a better idea . <end>
<start> ich habe einen besseren plan . <end>	<start> i have a better plan . <end>
<start> ich habe einen groayen bruder . <end>	<start> i have a big brother . <end>
<start> ich habe ein groayes problem . <end>	<start> i have a big problem . <end>
<start> ich habe einen hirntumor . <end>	<start> i have a brain tumor . <end>
<start> ich habe eine kreditkarte . <end>	<start> i have a credit card . <end>
<start> ich habe ein paar freunde . <end>	<start> i have a few friends . <end>
<start> ich habe einen guten anwalt . <end>	<start> i have a good lawyer . <end>
<start> ich habe ein grunes shirt . <end>	<start> i have a green shirt . <end>
<start> ich habe eine halbschwester . <end>	<start> i have a half sister . <end>
<start> ich habe eine halbschwester . <end>	<start> i have a half sister . <end>
<start> ich habe arbeit fur dich . <end>	<start> i have a job for you . <end>
<start> ich habe eine menge land . <end>	<start> i have a lot of land . <end>
<start> ich habe viel land . <end>	<start> i have a lot of land . <end>
<start> ich habe ein neues fahrrad . <end>	<start> i have a new bicycle . <end>
<start> ich habe einen neuen roten wagen . <end>	<start> i have a new red car . <end>
<start> ich habe ein neues rotes auto . <end>	<start> i have a new red car . <end>
<start> ich habe ein rotes fahrrad . <end>	<start> i have a red bicycle . <end>
<start> ich habe eine reservierung . <end>	<start> i have a reservation . <end>
<start> ich habe einen vorbehalt . <end>	<start> i have a reservation . <end>
<start> ich habe ein scharfes messer . <end>	<start> i have a sharp knife . <end>
<start> ich habe eine leichte erkaltung . <end>	<start> i have a slight cold . <end>
<start> ich habe leichtes fieber . <end>	<start> i have a small fever . <end>
<start> ich habe halsweh . <end>	<start> i have a sore throat . <end>
<start> ich habe halsschmerzen . <end>	<start> i have a sore throat . <end>
<start> ich habe einen wunden hals . <end>	<start> i have a sore throat . <end>
<start> ich habe einen stiefbruder . <end>	<start> i have a stepbrother . <end>
<start> ich leide unter bauchschmerzen . <end>	<start> i have a stomachache . <end>
<start> ich habe bauchschmerzen . <end>	<start> i have a stomachache . <end>
<start> mein bauch schmerzt . <end>	<start> i have a stomachache . <end>
<start> ich habe bauchweh . <end>	<start> i have a stomachache . <end>
<start> ich habe magenschmerzen . <end>	<start> i have a stomachache . <end>
<start> ich bin eine naschkatze . <end>	<start> i have a sweet tooth . <end>
<start> ich habe einen suayen zahn . <end>	<start> i have a sweet tooth . <end>
<start> ich bin eine naschkatze . <end>	<start> i have a sweet tooth . <end>
<start> ich habe einen suayen zahn . <end>	<start> i have a sweet tooth . <end>
<start> ich habe eine zwillingsschwester . <end>	<start> i have a twin sister . <end>
<start> ich habe einen holzkamm . <end>	<start> i have a wooden comb . <end>
<start> ich habe eine einladung . <end>	<start> i have an invitation . <end>
<start> ich habe ruckenprobleme . <end>	<start> i have back problems . <end>
<start> ich war in paris . <end>	<start> i have been in paris . <end>
<start> ich trage eine blaue nietenhose . <end>	<start> i have blue jeans on . <end>
<start> ich habe eine blaue nietenhose an . <end>	<start> i have blue jeans on . <end>
<start> ich habe mich erkaltet . <end>	<start> i have caught a cold . <end>
<start> ich habe mir eine erkaltung eingefangen . <end>	<start> i have caught a cold . <end>
<start> ich habe heute abend unterricht . <end>	<start> i have class tonight . <end>
<start> ich habe mir in den finger geschnitten . <end>	<start> i have cut my finger . <end>
<start> ich habe vier bruder . <end>	<start> i have four brothers . <end>
<start> ich habe zugenommen . <end>	<start> i have gained weight . <end>
<start> ich kann gut sehen . <end>	<start> i have good eyesight . <end>
<start> ich habe ein gutes sehvermogen . <end>	<start> i have good eyesight . <end>
<start> ich muss jetzt gehen . <end>	<start> i have got to go now . <end>
<start> ich muss jetzt weg . <end>	<start> i have got to go now . <end>
<start> ich habe meine uhr verloren . <end>	<start> i have lost my watch . <end>
<start> ich habe dich falsch beurteilt . <end>	<start> i have misjudged you . <end>
<start> ich habe sie falsch beurteilt . <end>	<start> i have misjudged you . <end>
<start> ich habe dich verkannt . <end>	<start> i have misjudged you . <end>
<start> ich habe dich falsch eingeschatzt . <end>	<start> i have misjudged you . <end>
<start> ich habe geld fur dich . <end>	<start> i have money for you . <end>
<start> ich habe meine eigene theorie . <end>	<start> i have my own theory . <end>
<start> ich habe keine ideen mehr . <end>	<start> i have no more ideas . <end>
<start> ich habe keine verwendung dafur . <end>	<start> i have no use for it . <end>
<start> ich kann nirgends hingehen . <end>	<start> i have nowhere to go . <end>
<start> ich habe das absolute gehor . <end>	<start> i have perfect pitch . <end>
<start> ich sehe schlecht . <end>	<start> i have poor eyesight . <end>
<start> ich habe das buch gelesen . <end>	<start> i have read the book . <end>
<start> ich habe ihn einmal gesehen . <end>	<start> i have seen him once . <end>
<start> ich habe so etwas oft gesehen . <end>	<start> i have seen it a lot . <end>
<start> ich habe so viele ideen . <end>	<start> i have so many ideas . <end>
<start> ich habe schlechte nachrichten . <end>	<start> i have some bad news . <end>
<start> ich habe ein paar huhner . <end>	<start> i have some chickens . <end>
<start> ich habe dreizehn katzen . <end>	<start> i have thirteen cats . <end>
<start> ich habe drei kameras . <end>	<start> i have three cameras . <end>
<start> ich habe drei cousins . <end>	<start> i have three cousins . <end>
<start> ich habe drei cousinen . <end>	<start> i have three cousins . <end>
<start> ich habe drei vettern . <end>	<start> i have three cousins . <end>
<start> ich habe drei optionen . <end>	<start> i have three options . <end>
<start> ich habe kehlkopfkrebs . <end>	<start> i have throat cancer . <end>
<start> ich muss vorsichtig sein . <end>	<start> i have to be careful . <end>
<start> ich muss mein bestes geben . <end>	<start> i have to do my best . <end>
<start> ich muss voranmachen . <end>	<start> i have to get moving . <end>
<start> ich muss zu tom gelangen . <end>	<start> i have to get to tom . <end>
<start> ich muss tom erreichen . <end>	<start> i have to get to tom . <end>
<start> ich muss tom fragen . <end>	<start> i have to go ask tom . <end>
<start> ich muss gehen und das tun . <end>	<start> i have to go do this . <end>
<start> ich muss tom holen . <end>	<start> i have to go get tom . <end>
<start> ich muss tom besuchen . <end>	<start> i have to go see tom . <end>
<start> ich muss zur arbeit gehen . <end>	<start> i have to go to work . <end>
<start> ich muss zur arbeit . <end>	<start> i have to go to work . <end>
<start> ich muss prioritaten setzen . <end>	<start> i have to prioritize . <end>
<start> ich muss mir einen wagen mieten . <end>	<start> i have to rent a car . <end>
<start> ich muss stiefel tragen . <end>	<start> i have to wear boots . <end>
<start> heute muss ich arbeiten . <end>	<start> i have to work today . <end>
<start> ich habe zu viele taschen . <end>	<start> i have too many bags . <end>
<start> ich habe zwei tochter . <end>	<start> i have two daughters . <end>
<start> ich habe , was du willst . <end>	<start> i have what you want . <end>
<start> ich hab keinen schimmer . <end>	<start> i have not got a clue . <end>
<start> ich habe es noch nicht bekommen . <end>	<start> i have not got it yet . <end>
<start> ich hatte nichts zum abendessen . <end>	<start> i have not had dinner . <end>
<start> es heiayt , tom tue das . <end>	<start> i hear tom does that . <end>
<start> ich habe dich husten gehort . <end>	<start> i heard you coughing . <end>
<start> ich habe sie husten gehort . <end>	<start> i heard you coughing . <end>
<start> ich habe euch husten gehort . <end>	<start> i heard you coughing . <end>
<start> ich habe gehort , du hast gut abgeschnitten . <end>	<start> i heard you did well . <end>
<start> ich habe gehort , sie haben gut abgeschnitten . <end>	<start> i heard you did well . <end>
<start> ich habe dich lachen gehort . <end>	<start> i heard you laughing . <end>
<start> ich habe euch lachen gehort . <end>	<start> i heard you laughing . <end>
<start> ich habe sie lachen gehort . <end>	<start> i heard you laughing . <end>
<start> ich habe es vollkommen ubertrieben . <end>	<start> i hit it really hard . <end>
<start> ich bin auf eine gute idee gekommen . <end>	<start> i hit on a good idea . <end>
<start> ich kam auf eine gute idee . <end>	<start> i hit on a good idea . <end>
<start> ich hoffe , das stimmt nicht . <end>	<start> i hope it is not true . <end>
<start> ich hoffe , dass das nicht wahr ist . <end>	<start> i hope it is not true . <end>
<start> ich hoffe es lohnt sich . <end>	<start> i hope it is worth it . <end>
<start> ich hoffe , das ist ein scherz . <end>	<start> i hope that is a joke . <end>
<start> ich hoffe , das reicht . <end>	<start> i hope that is enough . <end>
<start> ich hoffe , du weiayt das . <end>	<start> i hope you know that . <end>
<start> ich hoffe , sie wissen das . <end>	<start> i hope you know that . <end>
<start> ich hoffe , ihr wisst das . <end>	<start> i hope you know that . <end>
<start> ich hoffe , du bist hungrig . <end>	<start> i hope you are hungry . <end>
<start> ich hoffe , sie sind hungrig . <end>	<start> i hope you are hungry . <end>
<start> ich hoffe , ihr seid hungrig . <end>	<start> i hope you are hungry . <end>
<start> ich habe sie ganz doll gedruckt . <end>	<start> i hugged her tightly . <end>
<start> ich habe meine freunde eingeladen . <end>	<start> i invited my friends . <end>
<start> ich sprang auf und ab . <end>	<start> i jumped up and down . <end>
<start> ich brauche nur eine minute . <end>	<start> i just need a minute . <end>
<start> ich brauche nur eine sekunde . <end>	<start> i just need a second . <end>
<start> ich habe grade mit tom gesprochen . <end>	<start> i just talked to tom . <end>
<start> ich habe gerade geduscht . <end>	<start> i just took a shower . <end>
<start> ich bin gerade dreiayig geworden . <end>	<start> i just turned thirty . <end>
<start> ich will einfach nur tanzen . <end>	<start> i just want to dance . <end>
<start> ich will einfach bloay tanzen . <end>	<start> i just want to dance . <end>
<start> ich will einfach schlafen ! <end>	<start> i just want to sleep . <end>
<start> ich will einfach nur schlafen . <end>	<start> i just want to sleep . <end>
<start> ich will dich einfach wiederhaben ! <end>	<start> i just want you back . <end>
<start> ich habe dreizehn katzen . <end>	<start> i keep thirteen cats . <end>
<start> ich hielt den mund . <end>	<start> i kept my mouth shut . <end>
<start> ich wusste , dass ich es schaffen wurde . <end>	<start> i knew i could do it . <end>
<start> ich wusste , dass ich es brauche . <end>	<start> i knew i needed that . <end>
<start> ich habe es gewusst , dass man mir die schuld geben wurde . <end>	<start> i knew I would be blamed . <end>
<start> ich kannte tom sehr gut . <end>	<start> i knew tom very well . <end>
<start> ich kannte toms bruder . <end>	<start> i knew tom s brother . <end>
<start> ich wusste , dass das ein scherz war . <end>	<start> i knew it was a joke . <end>
<start> ich wusste , es war ein scherz . <end>	<start> i knew it was a joke . <end>
<start> ich wusste , dass du hier bist . <end>	<start> i knew you would be here . <end>
<start> ich wusste , dass du mich finden wurdest . <end>	<start> i knew you would find me . <end>
<start> ich wusste , dass es dir gefallen wurde . <end>	<start> i knew you would like it . <end>
<start> ich wusste , dass du es schaffen wurdest . <end>	<start> i knew you would make it . <end>
<start> ich wusste , du wurdest mich vermissen . <end>	<start> i knew you would miss me . <end>
<start> ich weiay , dass ich bald sterbe . <end>	<start> i know I will die soon . <end>
<start> ich weiay , dass ich bald sterben werde . <end>	<start> i know I will die soon . <end>
<start> ich weiay , tom mag dich . <end>	<start> i know tom likes you . <end>
<start> ich kenne tom sehr gut . <end>	<start> i know tom very well . <end>
<start> ich weiay , dass tom recht hatte . <end>	<start> i know tom was right . <end>
<start> ich weiay , dass thomas helfen wird . <end>	<start> i know tom will help . <end>
<start> ich kenne toms bruder . <end>	<start> i know tom s brother . <end>
<start> ich kenne alle regeln . <end>	<start> i know all the rules . <end>
<start> ich kenne sie sehr gut . <end>	<start> i know her very well . <end>
<start> ich kenne ihn sehr gut . <end>	<start> i know him very well . <end>
<start> ich weiay , wie das geht . <end>	<start> i know how that goes . <end>
<start> ich weiay es mit sicherheit . <end>	<start> i know it for a fact . <end>
<start> ich weiay , dass es nicht leicht ist . <end>	<start> i know it is not easy . <end>
<start> ich weiay , dass das leben kurz ist . <end>	<start> i know life is short . <end>
<start> ich kenne viele witze . <end>	<start> i know lots of jokes . <end>
<start> ich kenne viele lieder . <end>	<start> i know lots of songs . <end>
<start> ich kenne die gebardensprache . <end>	<start> i know sign language . <end>
<start> ich weiay , dass ich faul bin . <end>	<start> i know that I am lazy . <end>
<start> ich weiay , dass er es weiay . <end>	<start> i know that he knows . <end>
<start> ich weiay , dass er tom ist . <end>	<start> i know that he is tom . <end>
<start> ich weiay , dass du das weiayt . <end>	<start> i know that you know . <end>
<start> ich kenne diesen herrn . <end>	<start> i know the gentleman . <end>
<start> ich weiay , was tom gesagt hat . <end>	<start> i know what tom said . <end>
<start> ich weiay , was passiert ist . <end>	<start> i know what happened . <end>
<start> ich weiay , was es braucht . <end>	<start> i know what it takes . <end>
<start> ich weiay , wofur das ist . <end>	<start> i know what it is for . <end>
<start> ich weiay , was sie sind . <end>	<start> i know what they are . <end>
<start> ich weiay , was ich lernen soll . <end>	<start> i know what to study . <end>
<start> ich weiay , was ihr meint . <end>	<start> i know what you mean . <end>
<start> ich weiay , was sie meinen . <end>	<start> i know what you mean . <end>
<start> ich weiay , worauf du hinauswillst . <end>	<start> i know what you mean . <end>
<start> ich weiay , was du brauchst . <end>	<start> i know what you need . <end>
<start> ich weiay , was du gesagt hast . <end>	<start> i know what you said . <end>
<start> ich weiay , was du willst . <end>	<start> i know what you want . <end>
<start> ich weiay , wo das ist . <end>	<start> i know where that is . <end>
<start> ich weiay , wo ich suchen muss . <end>	<start> i know where to look . <end>
<start> ich weiay , wo du bist . <end>	<start> i know where you are . <end>
<start> ich weiay , wo ihr seid . <end>	<start> i know where you are . <end>
<start> ich weiay , wo sie sind . <end>	<start> i know where you are . <end>
<start> ich weiay , wer tom mag . <end>	<start> i know who likes tom . <end>
<start> ich weiay , wer dort war . <end>	<start> i know who was there . <end>
<start> ich weiay , wer alles dort war . <end>	<start> i know who was there . <end>
<start> ich weiay , warum er es getan hat . <end>	<start> i know why he did it . <end>
<start> ich weiay , dass du das kannst ! <end>	<start> i know you can do it . <end>
<start> ich weiay , dass du das weiayt . <end>	<start> i know you know this . <end>
<start> ich weiay , dass ihr das wisst . <end>	<start> i know you know this . <end>
<start> ich weiay , sie wissen das . <end>	<start> i know you know this . <end>
<start> ich weiay , dass du das gesagt hast . <end>	<start> i know you said that . <end>
<start> ich kenne ihre sprache . <end>	<start> i know your language . <end>
<start> ich kenne deine sprache . <end>	<start> i know your language . <end>
<start> das uberlasse ich dir . <end>	<start> i leave it up to you . <end>
<start> ich habe tom eine nachricht hinterlassen . <end>	<start> i left tom a message . <end>
<start> ich bin um sieben aus dem haus gegangen . <end>	<start> i left home at seven . <end>
<start> ich ging um sieben aus dem haus . <end>	<start> i left home at seven . <end>
<start> ich habe dir eine nachricht hinterlassen . <end>	<start> i left you a message . <end>
<start> ich habe ihr meinen fotoapparat geliehen . <end>	<start> i lent her my camera . <end>
<start> ich habe ihr meine kamera geliehen . <end>	<start> i lent her my camera . <end>
<start> ich lieay das seil los . <end>	<start> i let go of the rope . <end>
<start> ich belog meine eltern . <end>	<start> i lied to my parents . <end>
<start> ich habe meine eltern angelogen . <end>	<start> i lied to my parents . <end>
<start> ich mag japanische gerichte . <end>	<start> i like japanese food . <end>
<start> ich habe tom sehr gern . <end>	<start> i like tom very much . <end>
<start> ich mag toms frisur . <end>	<start> i like tom s haircut . <end>
<start> ich bin gerne drauayen . <end>	<start> i like being outside . <end>
<start> ich mag helle farben . <end>	<start> i like bright colors . <end>
<start> ich mag obst aus dosen . <end>	<start> i like canned fruits . <end>
<start> ich mag dosenobst . <end>	<start> i like canned fruits . <end>
